Date,Country,City,Specie,count,min,max,median,variance
3/23/2020,MN,Ulan Bator,humidity,264,10,85,51,7710.31
6/9/2020,MN,Ulan Bator,humidity,264,22,92,39,5887.19
1/27/2020,MN,Ulan Bator,humidity,240,46,76,70,803.31
3/4/2020,MN,Ulan Bator,humidity,26,60.5,71,63,252.79
4/26/2020,MN,Ulan Bator,humidity,264,17,43.5,26,925.69
5/31/2020,MN,Ulan Bator,humidity,264,22.5,92,45,6673.59
3/21/2020,MN,Ulan Bator,humidity,264,24.5,88.5,65.5,5955.95
3/22/2020,MN,Ulan Bator,humidity,264,18,85,57,6271.88
3/27/2020,MN,Ulan Bator,humidity,264,19.5,77,53,4178.32
4/5/2020,MN,Ulan Bator,humidity,264,7.5,72,29.5,3995.65
5/25/2020,MN,Ulan Bator,humidity,264,24.5,80,44,3886.49
1/31/2020,MN,Ulan Bator,humidity,240,66,84,76,287.85
3/18/2020,MN,Ulan Bator,humidity,264,33.5,80,57,1984.07
4/23/2020,MN,Ulan Bator,humidity,264,6,42.5,22,1419.23
4/30/2020,MN,Ulan Bator,humidity,264,10,69,21.5,4229.34
5/5/2020,MN,Ulan Bator,humidity,264,7,40,16,918.88
5/12/2020,MN,Ulan Bator,humidity,264,16,46.5,20.5,964.03
5/27/2020,MN,Ulan Bator,humidity,264,12,75,26,4885.97
6/3/2020,MN,Ulan Bator,humidity,264,17.5,74,39.5,3790.92
